,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_SMA(C,10)","Exit_SMA(C,10)","Entry_SMA(C,20)","Exit_SMA(C,20)"
83,59,1841,1868,621.04,640.99,,,1177.0500000000027,0.0321235347159603,2011-12-08,2012-01-19,42 days,,605.65,633.6279999999999,601.3879999999999,637.8625
84,-59,1868,1886,640.99,611.54,,,1737.5500000000027,0.04594455451723123,2012-01-19,2012-02-14,26 days,,633.6279999999999,602.731,637.8625,596.38
85,64,1886,1908,611.54,620.89,,,598.4000000000015,0.015289269712529086,2012-02-14,2012-03-16,31 days,,602.731,611.8489999999999,596.38,612.534
86,-64,1908,1911,620.89,634.61,,,-878.0800000000017,-0.022097311923207075,2012-03-16,2012-03-21,5 days,,611.8489999999999,619.9929999999999,612.534,616.5775000000001
87,61,1911,1927,634.61,647.55,,,789.3399999999964,0.020390476040402783,2012-03-21,2012-04-13,23 days,,619.9929999999999,636.7520000000001,616.5775000000001,639.4585
88,-61,1927,1947,647.55,610.35,,,2269.1999999999957,0.05744730136668974,2012-04-13,2012-05-11,28 days,,636.7520000000001,607.2909999999999,639.4585,606.5200000000001
89,68,1947,1960,610.35,588.72,,,-1470.8399999999997,-0.03543868272302775,2012-05-11,2012-05-31,20 days,,607.2909999999999,600.644,606.5200000000001,605.3425
90,-68,1960,1983,588.72,580.01,,,592.2800000000025,0.014794809077320337,2012-05-31,2012-07-03,33 days,,600.644,572.1560000000001,605.3425,571.572
91,69,1983,2059,580.01,705.58,,,8664.330000000004,0.21649626730573623,2012-07-03,2012-10-19,108 days,,572.1560000000001,736.068,571.572,747.0325
92,-69,2059,2087,705.58,702.24,,,230.4600000000022,0.004733694265710575,2012-10-19,2012-12-03,45 days,,736.068,677.3059999999999,747.0325,669.606
