,Equity,DrawdownPct,DrawdownDuration
2009-11-13,39030.57802000002,0.015342143867528746,
2009-11-16,39318.21802000002,0.008085602967908612,
2009-11-17,39400.49802000003,0.006009854861870556,
2009-11-18,39343.378020000026,0.007450870075979554,
2009-11-19,39094.49802000003,0.013729579223168531,
2009-11-20,38888.45802000003,0.018927526959775953,
2009-11-23,39730.97802000003,0.0,14 days
2009-11-24,39781.29802000003,0.0,
2009-11-25,39961.49802000003,0.0,
2009-11-27,39554.85802000003,0.010175794706106411,
2009-11-30,39775.17802000003,0.004662487875373156,
2009-12-01,40242.338020000025,0.0,6 days
2009-12-02,40081.85802000003,0.003987839869548315,
2009-12-03,39961.49802000003,0.006978719771709607,
2009-12-04,39911.85802000003,0.008212246511019039,
2009-12-07,39996.17802000003,0.006116940816849548,
2009-12-08,40050.57802000002,0.004765130691579134,
2009-12-09,40184.53802000002,0.0014362982581000994,
2009-12-10,40353.17802000003,0.0,9 days
2009-12-11,40285.85802000003,0.001668270091803814,
2009-12-14,40640.81802000003,0.0,4 days
2009-12-15,40464.698020000025,0.0043335741892136515,
2009-12-16,40778.85802000003,0.0,2 days
2009-12-17,40519.098020000034,0.006369967493268125,
2009-12-18,40687.738020000026,0.0022344912149161456,
2009-12-21,40841.41802000003,0.0,5 days
2009-12-22,41007.338020000025,0.0,
2009-12-23,41725.41802000003,0.0,
2009-12-24,42187.81802000003,0.0,
2009-12-28,42486.338020000025,0.0,
2009-12-29,42250.378020000026,0.005553785310678516,
2009-12-30,42476.81802000003,0.00022407202982555052,
2009-12-31,42289.81802000003,0.004625486901400744,
2010-01-04,42750.17802000003,0.0,7 days
2010-01-05,42562.49802000003,0.004390157157057817,
2010-01-06,41492.85802000003,0.029410871678985373,
2010-01-07,40529.97802000003,0.05193428665867328,
2010-01-08,41068.53802000002,0.03933644438189887,
2010-01-11,41006.658020000024,0.04078392373440698,
2010-01-12,40283.81802000003,0.057692391335684046,
2010-01-13,40053.29802000003,0.0630846495829398,
2010-01-14,40240.97802000003,0.05869449242588198,
2010-01-15,41211.87622000003,0.0359835179933129,
2010-01-19,40701.336220000034,0.04792592440296917,
2010-01-20,41184.40622000003,0.03662608841692949,
2010-01-21,41012.21622000003,0.0406539079015511,
2010-01-22,43221.20622000003,0.0,18 days
2010-01-25,43891.87622000003,0.0,
2010-01-26,43729.736220000035,0.0036940776736745784,
2010-01-27,43751.17622000003,0.0032056045928582355,
2010-01-28,44274.446220000034,0.0,3 days
2010-01-29,44565.896220000024,0.0,
2010-02-01,44359.53622000003,0.004630446541034283,
